PyECLOUD Version 8.6.0
git hash: b'4069f92c1befdc7e1ff787b95aa81c111f73ff56'
git branch: b'master'
Simulation started on 20 Mar 2022 13:24:47
Initialization finished on 20 Mar 2022 13:25:40
20 Mar 2022 13:29:14 pass. 199/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:15 pass. 200/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:16 pass. 201/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:17 pass. 202/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:19 pass. 203/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:20 pass. 204/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:21 pass. 205/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:22 pass. 206/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:23 pass. 207/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:24 pass. 208/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:25 pass. 209/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:26 pass. 210/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:28 pass. 211/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:29 pass. 212/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:30 pass. 213/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:31 pass. 214/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:32 pass. 215/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:33 pass. 216/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:35 pass. 217/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:36 pass. 218/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:37 pass. 219/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:38 pass. 220/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:39 pass. 221/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:40 pass. 222/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
